event   element | name     | type     | charge       | pT           | Eta          | Phi          | E            | mass
       1       1|       mu-|        13|            -1|        454.45|     -0.119766|       1.20386|       457.714|      0.105713
       1       2|       mu-|        13|             1|       239.956|       1.19214|       1.11646|       431.644|      0.105713
       2       1|        e-|        11|             1|          1656|    -0.0679169|     -0.981079|       1659.82|      -0.70459
       2       2|        e-|        11|            -1|       1302.38|     -0.473877|       2.32275|       1451.37|     -0.206421
       2       3|       mu-|        13|            -1|       1529.01|     -0.785034|       1.41113|       2024.85|      0.105713
       3       1|        e-|        11|             1|       1248.14|      0.272461|      -1.03809|       1294.76|     -0.572266
       3       2|       mu-|        13|            -1|       1225.35|      0.758667|       1.53711|       1595.23|      0.105713
       4       1|        e-|        11|             1|       1390.08|      0.289368|      0.253967|       1448.69|      0.281982
       4       2|        e-|        11|             1|       236.841|     -0.760864|      -2.74707|       308.769|    -0.0709839
       4       3|       mu-|        13|            -1|       282.045|     -0.410767|     -0.903198|       306.176|      0.105713
       5       1|        e-|        11|            -1|        438.54|      0.185669|      0.166473|       446.121|      0.129761
       5       2|       mu-|        13|            -1|       977.477|     -0.997192|       1.70874|       1505.11|      0.105713
       6       1|        e-|        11|            -1|       986.204|     -0.320801|      -2.73291|       1037.39|      0.186401
       6       2|        e-|        11|             1|       658.089|      0.689941|      0.569702|       821.034|      0.212036
       6       3|        e-|        11|             1|       193.734|      -1.74707|      -1.77832|       572.684|     0.0565186
       6       4|       mu-|        13|            -1|       461.318|     -0.505249|      0.497253|       521.463|      0.105713
       7       1|       mu-|        13|            -1|       1120.01|     -0.121552|        2.0542|       1128.29|      0.105713
       7       2|       mu-|        13|            -1|       66.1045|     -0.668579|      -1.42188|       81.4375|      0.105713
       8       1|        e-|        11|             1|       472.869|    -0.0311432|      -1.47095|       473.098|    -0.0835571
       8       2|       mu-|        13|             1|       792.724|    0.00175452|        1.9292|       792.725|      0.105713
       8       3|       mu-|        13|            -1|       697.268|      0.504761|      -1.21094|       787.996|      0.105713
       9       1|        e-|        11|            -1|       717.759|     -0.952148|     0.0955658|       1068.45|     -0.127319
       9       2|        e-|        11|             1|       416.446|     -0.577515|     -0.130188|       487.845|     -0.161865
      10       1|        e-|        11|             1|       529.316|      0.429321|      -1.31177|       578.851|     -0.166382
      10       2|        e-|        11|            -1|       301.529|     -0.620605|      -2.09229|       361.484|      0.037323
      10       3|       mu-|        13|            -1|        2061.3|      0.501343|       2.83447|       2325.82|      0.105713
      11       1|        e-|        11|            -1|       713.317|      0.696411|     -0.386108|       893.397|       0.23938
      11       2|        e-|        11|             1|       530.119|      0.518066|      -2.84375|       602.864|     -0.146484
      11       3|        e-|        11|             1|       298.579|     -0.490601|     0.0691528|       335.238|      0.103149
      12       1|        e-|        11|             1|       1219.98|    -0.0779266|      -2.33008|       1223.68|     0.0534363
      12       2|       mu-|        13|            -1|       1287.18|     -0.496826|       1.22705|       1449.34|      0.105713
      12       3|       mu-|        13|            -1|       617.759|     -0.114349|     -0.338989|       621.803|      0.105713
      12       4|       mu-|        13|             1|         169.2|      -2.30176|      -2.17383|       853.766|      0.105713
      13       1|       mu-|        13|            -1|       962.038|      0.300781|      -1.08105|       1005.88|      0.105713
      13       2|       mu-|        13|             1|       759.252|      -0.49408|       2.94482|       853.824|      0.105713
      13       3|       mu-|        13|             1|       584.424|       -2.0918|       2.10693|       2402.84|      0.105713
      13       4|       mu-|        13|            -1|       580.751|     -0.623901|      0.438843|       697.495|      0.105713
      14       1|        e-|        11|            -1|       225.893|      0.819824|       1.40137|       306.154|     -0.010849
      14       2|       mu-|        13|             1|       462.823|     -0.138641|     -0.936157|       467.278|      0.105713
      14       3|       mu-|        13|             1|       325.377|      -1.11523|       1.11499|       549.581|      0.105713
      15       1|        e-|        11|            -1|       635.315|     -0.214691|      -2.48096|       650.013|      0.129761
      15       2|       mu-|        13|            -1|       796.794|       0.56311|       1.88843|       926.497|      0.105713
      15       3|       mu-|        13|             1|       431.153|       1.28491|     -0.568848|       838.813|      0.105713
      15       4|       mu-|        13|             1|       286.895|      -1.39282|      0.594604|       613.177|      0.105713
      16       1|        e-|        11|             1|        997.24|      0.526001|      -2.49512|       1138.41|       0.28833
      16       2|        e-|        11|             1|       608.277|      -2.01953|       0.71582|       2331.99|      0.150757
      16       3|       mu-|        13|            -1|       351.718|      0.171936|     0.0582657|        356.93|      0.105713
      17       1|       mu-|        13|             1|       798.086|        1.2998|        1.8418|       1572.69|      0.105713
      17       2|       mu-|        13|            -1|       393.355|     -0.874146|      -1.35815|        553.46|      0.105713
      17       3|       mu-|        13|             1|       352.855|     -0.383667|     -0.188843|       379.146|      0.105713
      18       1|       mu-|        13|             1|       996.983|     -0.620361|      -1.43311|       1195.06|      0.105713
      18       2|       mu-|        13|            -1|       397.955|      0.116806|       2.22656|       400.673|      0.105713
      19       1|        e-|        11|            -1|       804.996|     -0.820068|       2.15625|       1091.19|     -0.386719
      19       2|        e-|        11|             1|       323.749|      0.157227|       2.56787|       327.759|    -0.0975952
      19       3|       mu-|        13|            -1|        299.62|      -1.40869|      -0.69397|       649.436|      0.105713
      20       1|        e-|        11|            -1|       8.15055|      -2.41699|      -2.88916|       46.0558|    0.00457382
      20       2|       mu-|        13|             1|       370.614|      -1.17358|      -2.16797|       656.509|      0.105713
      20       3|       mu-|        13|             1|       169.358|       1.78638|     -0.906372|       519.537|      0.105713
      21       1|        e-|        11|             1|       572.973|     -0.934692|      -2.46387|       842.022|      0.137817
